Year,Hospital,Procedure/Condition,Risk Adjusted Mortality Rate,# of Deaths,# of Cases
2012,STATEWIDE,PCI,2.5,1015,40790
2012,STATEWIDE,Pneumonia,,,
2012,STATEWIDE,GI Hemorrhage,2.1,1024,47893
2012,STATEWIDE,Pancreatic Other,2.8,22,794
2012,STATEWIDE,AMI,6.3,2938,46663
2012,STATEWIDE,Esophageal Resection,5.7,22,387
2012,STATEWIDE,Acute Stroke Ischemic,5.3,2150,40900
2012,STATEWIDE,Acute Stroke Hemorrhagic,23,2432,10576
2012,STATEWIDE,Hip Fracture,,,
2012,STATEWIDE,Pancreatic Resection,2.4,41,1724
2012,STATEWIDE,Acute Stroke,9.6,5227,54191
2012,STATEWIDE,Acute Stroke Subarachnoid,23.8,645,2715
2012,STATEWIDE,Heart Failure,3,2458,81
2012,STATEWIDE,Carotid Endarterectomy,0.5,31,6407
2012,STATEWIDE,Craniotomy,7.1,1065,15030
2012,STATEWIDE,AAA Repair,1.1,26,2437
2012,STATEWIDE,Pancreatic Cancer,2,19,930
2013,STATEWIDE,GI Hemorrhage,2.3,1087,47723
2013,STATEWIDE,Acute Stroke Subarachnoid,24.6,671,2727
2013,STATEWIDE,PCI,2.7,1013,37885
2013,STATEWIDE,Pancreatic Cancer,3.3,32,966
2013,STATEWIDE,Acute Stroke Ischemic,4.9,2046,41526
2013,STATEWIDE,Acute Stroke Hemorrhagic,21.9,2355,10730
2013,STATEWIDE,Pancreatic Resection,3.5,62,1763
2013,STATEWIDE,Craniotomy,7.2,1094,15187
2013,STATEWIDE,Hip Fracture,,,
2013,STATEWIDE,Esophageal Resection,4.8,18,377
2013,STATEWIDE,Acute Stroke,9.2,5072,54983
2013,STATEWIDE,Pancreatic Other,3.8,30,797
2013,STATEWIDE,Carotid Endarterectomy,0.5,29,6139
2013,STATEWIDE,Pneumonia,,,
2013,STATEWIDE,Heart Failure,3,2510,83
2013,STATEWIDE,AAA Repair,1.4,36,2560
2013,STATEWIDE,AMI,6,2803,46984
